run,epoch,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_loss
Adam/validation,1,0.5937,0.6547869469542624,0.5937,0.5485897503052495,1.0319146537408481
Adam/validation,2,0.7705,0.746554372307523,0.7705,0.748334970457618,0.7606678255684458
Adam/validation,3,0.7983,0.7941546629548549,0.7983,0.7875393264122156,0.6947700681692226
Adam/validation,4,0.8146,0.8116802012549351,0.8146000000000001,0.8072332230953819,0.6171377903910472
Adam/validation,5,0.8227,0.8196312552288603,0.8227,0.8158302731387206,0.7118560953789247
Adam/validation,6,0.8264,0.8238847703395462,0.8264000000000001,0.8197692782957338,0.6797419138257652
Adam/validation,7,0.8314,0.8280251735235662,0.8314,0.8257565204937809,0.6247690201693884
Adam/validation,8,0.8334,0.8306188268410943,0.8334000000000001,0.8280096326041025,0.5831131931393454
Adam/validation,9,0.8358,0.8327229774801692,0.8358000000000001,0.8302591165091615,0.6408323804551546
Adam/validation,10,0.8389,0.8364527789039933,0.8389000000000001,0.8335458596449901,0.594653646941273
Adam/validation,11,0.8417,0.8392338505354076,0.8417,0.8374108385581016,0.6300221313841674
Adam/validation,12,0.8426,0.8403781839790911,0.8426,0.8382650830048556,0.6755772454597418
Adam/validation,13,0.8445,0.8420176400853301,0.8445,0.8406486418377928,0.5353620006752491
Adam/validation,14,0.8434,0.8407467028561761,0.8433999999999999,0.8395182833589845,0.5702162481850591
Adam/validation,15,0.8459,0.8436006146178773,0.8459,0.8420222829408404,0.5954440803038004
Adam/validation,16,0.8454,0.8431158267415929,0.8454,0.8416493487991497,0.6314769766924714
Adam/validation,17,0.8456,0.8434422522697794,0.8455999999999999,0.8419182882955465,0.5251281805871346
Adam/validation,18,0.8477,0.8450689342113957,0.8477,0.8443238319587841,0.6889070640421515
Adam/validation,19,0.8472,0.8449805701257814,0.8472,0.8438935054785413,0.7606398436560025
Adam/validation,20,0.8489,0.8468007299301377,0.8488999999999999,0.8457161678906193,0.48534488322647706
Adam/validation,21,0.8491,0.8472670857463088,0.8491,0.846126883199058,0.7150281720577232
Adam/validation,22,0.8509,0.8489636166995019,0.8509,0.8478812516733829,0.7324838904753929
Adam/validation,23,0.8498,0.8478039191878615,0.8498000000000001,0.8467875111221248,0.5668963210105572
Adam/validation,24,0.8505,0.8484409302262881,0.8504999999999999,0.8477707204707345,0.5762416658822408
Adam/validation,25,0.8517,0.8495506272314819,0.8516999999999999,0.8489902230276026,0.4723706530688882
