run,epoch,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_loss
SGD/validation,1,0.2029,0.10641175779457086,0.2029,0.1169935140240885,1.9770207458110658
SGD/validation,2,0.3426,0.3040122807961704,0.3426,0.2397969039149852,1.6733565254456466
SGD/validation,3,0.4746,0.3752751176699432,0.47459999999999997,0.3726623324969842,1.2690371098260365
SGD/validation,4,0.5676,0.5256802313411579,0.5675999999999999,0.5212662005514811,1.1411931469334253
SGD/validation,5,0.6594,0.6493318004815818,0.6594,0.6219092261138781,1.0238910861484263
SGD/validation,6,0.6981,0.6817139111622832,0.6980999999999999,0.672171861096478,0.8445223267392655
SGD/validation,7,0.7183,0.7183985532088386,0.7182999999999999,0.696055057650062,0.8442144730394079
SGD/validation,8,0.7768,0.7711204059399559,0.7767999999999999,0.7658072689029509,0.6735609464590742
SGD/validation,9,0.8028,0.796203467788784,0.8027999999999998,0.7965110219624526,0.6651448768765957
SGD/validation,10,0.8175,0.8125316173739321,0.8174999999999999,0.8121995597302879,0.773641160715106
SGD/validation,11,0.8259,0.8227803837338079,0.8259000000000001,0.8226328816347349,0.604054606128023
SGD/validation,12,0.8325,0.8302779058052779,0.8324999999999999,0.8300850883021909,0.6944278060704645
SGD/validation,13,0.8329,0.8337197408532075,0.8329000000000001,0.8317179083433857,0.5415399613450974
SGD/validation,14,0.8402,0.8381163373447718,0.8402000000000001,0.8376499970586664,0.6306614896317465
SGD/validation,15,0.8435,0.8419455822511533,0.8435,0.8414274278756737,0.64464720499786
SGD/validation,16,0.8457,0.8450159096144029,0.8456999999999999,0.8444983956018302,0.720456634798136
SGD/validation,17,0.8516,0.8504001881765877,0.8516,0.8502822520765724,0.5600532238840897
SGD/validation,18,0.8531,0.851603849218364,0.8531000000000001,0.8516475678819824,0.5898140535731451
SGD/validation,19,0.8548,0.8549880486104208,0.8548,0.8535680335840645,0.6769072681164774
SGD/validation,20,0.8569,0.856805468350012,0.8569000000000001,0.8565258249427525,0.6248601266827456
SGD/validation,21,0.8585,0.8583377731603731,0.8584999999999999,0.856954090216316,0.5241311193115077
SGD/validation,22,0.8597,0.8584576220092707,0.8596999999999999,0.8583216761220156,0.7251494770441863
SGD/validation,23,0.8646,0.8641939677139799,0.8645999999999999,0.8635295769668939,0.6568184599386317
SGD/validation,24,0.8652,0.8648637425656215,0.8652000000000001,0.863806343661276,0.5500993116082092
SGD/validation,25,0.8651,0.8644494863083805,0.8650999999999998,0.8641527806710563,0.5490625501287578
