run,epoch,epoch_accuracy,epoch_precision,epoch_recall,epoch_f1,epoch_loss
Adagrad/validation,1,0.7751,0.7744287840621235,0.7750999999999999,0.7709156483627064,0.7872194284774975
Adagrad/validation,2,0.8187,0.8155711137851224,0.8187,0.8156764325291798,0.7662365244714916
Adagrad/validation,3,0.8335,0.8310775082603522,0.8334999999999999,0.8303389839759104,0.7691586458301204
Adagrad/validation,4,0.8389,0.8377356950141124,0.8389000000000001,0.8363819132906032,0.6867145702169641
Adagrad/validation,5,0.8441,0.8418812040903463,0.8441000000000001,0.8412825798796408,0.6314541411460235
Adagrad/validation,6,0.8486,0.8478730844472343,0.8485999999999999,0.8469837200514185,0.7908215101138962
Adagrad/validation,7,0.8512,0.8498993909975157,0.8512000000000001,0.8492990836478429,0.596663225995851
Adagrad/validation,8,0.8556,0.8542350557085907,0.8555999999999999,0.8544020024433685,0.6089256538239605
Adagrad/validation,9,0.8583,0.8574751750846008,0.8583000000000001,0.8567063859552537,0.6159966013899931
Adagrad/validation,10,0.86,0.8588627428963964,0.86,0.8588050254152735,0.5412046864833043
Adagrad/validation,11,0.8616,0.8603224283570828,0.8615999999999999,0.8603230189438639,0.5771656168438275
Adagrad/validation,12,0.8637,0.8625731012355505,0.8637,0.862221534742687,0.6090158488408256
Adagrad/validation,13,0.8645,0.8635563866105379,0.8644999999999999,0.8633681890392371,0.5953816581824856
Adagrad/validation,14,0.8652,0.8643194017867873,0.8652000000000001,0.8640818963264113,0.5205599474321256
Adagrad/validation,15,0.8657,0.8648232381309479,0.8657,0.8643975049609823,0.5738932321984724
Adagrad/validation,16,0.8665,0.865433409201137,0.8664999999999999,0.8654164281461432,0.6014174332894556
Adagrad/validation,17,0.8673,0.8660294485088713,0.8673,0.866289074372785,0.5150815013315527
Adagrad/validation,18,0.8688,0.8677507347163018,0.8688,0.8676907821778418,0.5778085405234091
Adagrad/validation,19,0.8684,0.8675369771708926,0.8684,0.8675724900927164,0.46446402261337355
Adagrad/validation,20,0.8695,0.8686944493362139,0.8695,0.8686598480517999,0.6324380428832301
Adagrad/validation,21,0.8701,0.8691764293220373,0.8701000000000001,0.869187626828894,0.5828110290042979
Adagrad/validation,22,0.8691,0.8680981237625728,0.8690999999999999,0.8680540732423612,0.5086236235489074
Adagrad/validation,23,0.8703,0.8692304805337745,0.8703,0.8693222792135684,0.5769674361927647
Adagrad/validation,24,0.8712,0.8704827199759411,0.8712,0.8702458108351419,0.5165190091526924
Adagrad/validation,25,0.8713,0.8706095733800734,0.8713000000000001,0.8706338843680163,0.4749280614089716
Adagrad/validation,26,0.8728,0.8720648348752738,0.8728,0.8720481632078133,0.5487916604076815
Adagrad/validation,27,0.8718,0.8708563411103485,0.8718,0.8708338075532215,0.4576381245547023
Adagrad/validation,28,0.8724,0.8716339686204556,0.8724000000000001,0.8715396971414956,0.46957570488283756
Adagrad/validation,29,0.8715,0.8706034107944539,0.8714999999999999,0.8705666396775287,0.5908028454400988
Adagrad/validation,30,0.8738,0.8730625437689848,0.8737999999999999,0.8730859147591282,0.49074104696301657
Adagrad/validation,31,0.8735,0.8725796296635817,0.8734999999999999,0.872525176400447,0.49683565388191275
Adagrad/validation,32,0.8737,0.8725830841282921,0.8737,0.8725313502898275,0.5091403339898661
Adagrad/validation,33,0.8734,0.872752450737627,0.8734,0.8726382696377184,0.5264429195701491
Adagrad/validation,34,0.8738,0.8731798658679389,0.8737999999999999,0.873060635547108,0.5345631628763008
Adagrad/validation,35,0.8749,0.8742488507744663,0.8749,0.8741150805688365,0.5150298216417758
Adagrad/validation,36,0.8738,0.8728191406692748,0.8737999999999999,0.8729394157231354,0.5138822541700739
Adagrad/validation,37,0.8765,0.8758364588507428,0.8765000000000001,0.8757244960577417,0.5028536539704149
Adagrad/validation,38,0.8755,0.874704535497805,0.8755000000000001,0.8748099000643895,0.38016529640402497
Adagrad/validation,39,0.8745,0.8740901058995678,0.8744999999999999,0.873990370816351,0.48944168043770525
Adagrad/validation,40,0.8753,0.8747179294974048,0.8753,0.8747314691953674,0.4738758835782477
Adagrad/validation,41,0.8753,0.8744147048715245,0.8753,0.8744806989577993,0.4480937300674284
Adagrad/validation,42,0.8754,0.8744248916726708,0.8754,0.8745860156534466,0.509244533400724
Adagrad/validation,43,0.8763,0.875576465253264,0.8763,0.8755151190982711,0.41704470170165464
Adagrad/validation,44,0.8766,0.8758603613179817,0.8766,0.8758353307972999,0.5867870002957438
Adagrad/validation,45,0.8752,0.8744566914385026,0.8752000000000001,0.874416667346666,0.4124113109581452
Adagrad/validation,46,0.8748,0.8739461020220786,0.8748000000000001,0.8739600305673212,0.5191833715298724
Adagrad/validation,47,0.8757,0.8749647143208487,0.8757000000000001,0.87497167193206,0.5218880397548563
Adagrad/validation,48,0.8763,0.8754388259528737,0.8763,0.875538677369412,0.46288117168419785
Adagrad/validation,49,0.8759,0.8752523527953879,0.8759,0.8752238020106227,0.47541378691037833
Adagrad/validation,50,0.8771,0.8764323318164549,0.8771000000000001,0.8763997175185795,0.44045882440687034
